anon_id,page,input_sha256,initial_trials,refinement_trials,candidates_left,candidates_right,cycles_current,cycles_S,cycles_S_B1,cycles_S_B2,cycles_S_B0b_base,count_pass_iterations,wall_seconds
example_01.pdf,0,b0d0238320e8305570c27b2251a7b0f546ab5824f76d18f8c2592aeab0a6ea7d,0,0,0,0,0,0,0,0,0,0,0.182
example_01.pdf,1,b0d0238320e8305570c27b2251a7b0f546ab5824f76d18f8c2592aeab0a6ea7d,2264,64,37,45,165892553075,18351959589,13189245093,10143498213,8731510821,73764675,2.859
example_02.pdf,0,eb1be99368c5e2e1dd444553ab39b8c6e75d161226ac936424a77a6c46c0e647,1200,64,18,26,89431134260,9940877996,7137722924,5490645484,4726045996,39987851,1.712
example_03.pdf,0,695f22d45cbae815bca4c6525f1c41d279d8a8be37c024bfea80fd8a2272d3d8,2040,176,51,17,171146968087,18168456073,13039975945,10030534985,8632892553,70728187,2.955
example_04.pdf,0,1fa7642dbcc74c7b55f12b6fddca3e8541977f0536373575a4b6d62267a345e3,504,32,9,9,38736552359,4258543553,3057532481,2351940481,2024378305,16991315,0.718
example_05.pdf,0,32ff8f9c4ec9d23f383abd1df03cf2856a6dc8ea1203fd8fbe3962180e47c77d,168,0,3,3,12177942333,1332936459,958862475,737260875,634669323,5337981,0.347
example_06.pdf,0,32c84f3182628ceb110d6308ebaddf66412bcfe17002971a70ca91db7c78b07f,2208,48,36,44,160731876284,17777780348,12779151740,9827665660,8459769212,71496662,2.43
example_07.pdf,0,e0a72bbb720bcfc1f839ad20e3cf209c5ce2113bef07672726d49afdf05f9c25,304,0,8,2,24005152702,2509791042,1805928258,1388305218,1195065154,9753492,0.512
example_08.pdf,0,5a575454088d0921a1bb7f16b8c041851fcb3ad3ac25e9af02da58b70e32a984,856,16,17,13,64463462443,6986702901,5023334325,3862741365,3325053749,27749829,1.104
example_09.pdf,0,b72400f9996877bc0730757665e4c829e219d1da049f4a30bc3f29149a0dcf06,280,16,5,5,22048877809,2380709993,1709842409,1315111849,1131955689,9419189,0.511
example_10.pdf,0,d12bef2de45f52f2618af34d74ae94e85d31e2b4a53d59d0aadc5c432d97030c,88,0,2,1,6707068191,714506609,514068593,395219953,340215153,2811800,0.28
example_11.pdf,0,93647ef1de450ca31aef9ae3db0d0c079104ced8b308bf93c70175d0113e8f37,168,8,3,3,12728623673,1397870003,1004098739,772300339,664761907,5582324,0.365
example_12.pdf,0,066ae7a50b0f0756055ace23290b7fa635b327f5d7da6b5b6753e3a3f4211e84,136,0,2,3,9530188253,1062742003,764414707,587794547,506010611,4305508,0.313
example_13.pdf,0,c68abacd16e90a04a46c4046373b8a5dd1db7cb8cf68d98045f95b9552847e93,504,40,9,9,39301838419,4325044271,3102776495,2387181295,2054590127,17232179,0.739
example_14.pdf,0,4b48c552d09f1929db204fcea1b477fac6c8c5bb409942154a0d38e6f5c3b4ad,1784,48,28,37,130334472721,14428250135,10368631703,7974390103,6864322967,58039289,2.356
example_15.pdf,0,f35f2c6835c912a4dd7ca6623e0ae61fe7bc2f61ef0df3afab467a2687788cb1,416,16,7,8,30928121488,3414169856,2452991360,1886641600,1623977984,13690829,0.704
example_16.pdf,0,3ce2ca1eb1cb887fe2e3d6f4b20a096ec0279bbb0c61e0393e854b497263e5c3,280,0,5,5,20296570555,2221560765,1598104125,1228768125,1057782205,8896635,0.507
example_17.pdf,0,6b83bbf462e25014a1332c33e8a0dc8a799a22738cfe2964fc7cb7fd3ef1c248,224,0,4,4,16237256444,1777248612,1278483300,983014500,846225764,7117308,0.441
example_18.pdf,0,37327ab20ade582c29d91f023bfbbd8a52b661cc375c2109ff0f52347c8aa23b,224,8,4,4,16787937784,1842182156,1323719564,1018053964,876318348,7361651,0.448
example_19.pdf,0,a466a988d4609cfa6813d9ae5e84303f3a2f00234691ccec12b9c46333198819,384,0,6,8,27179004728,3014108312,2168071064,1667096344,1435134104,12169670,0.575
example_20.pdf,0,ba62c29d682ac8231fa6ec4efa4f1080b423bc686f38e4e268007b5364ea4861,560,16,10,10,42345448364,4602270758,3307946534,2543879974,2189737894,18315824,0.882
example_21.pdf,0,34b3640ef9407e830e2dd6847257e343c0fbf436a006d10e9284bd070e764a7a,392,24,7,7,30718187371,3334267843,2394320323,1841658563,1585161155,13222186,0.677
example_22.pdf,0,4685e48daeceef2483f4d13552a8179f1b2c476b198fa9472aad0929137a9b12,448,24,8,8,34126556908,3749297856,2692675392,2071147392,1782729280,14967645,0.745
example_23.pdf,0,40de2f6a944dd3d7ee4324c271a5dcdff3374ef9a1b9edc781a7edf88d7870f6,440,24,7,9,32890362859,3653221097,2623400681,2017968361,1736968297,14682026,1.266
example_24.pdf,0,5a42550c2a63e53d7d5c070b568e732b329c159fa6cb310b67dba56db5e44fed,576,24,9,12,42435155832,4717530274,3387823138,2605964258,2243098146,18984055,1.699
example_25.pdf,0,86d47b36c2c3e034a3c4abe6b7d024718dbad55a810f8ee5819ec1b5bf5ba925,168,16,3,3,13279305013,1462803547,1049335003,807339803,694854491,5826667,0.706
example_26.pdf,0,a2b2be8fc9d854b11ad263f55c6e6451db1fae0dbc0c392c8b1eb8c9e233f8c7,896,24,16,16,66601069796,7303795080,5249641992,4037176392,3475180808,29202261,2.687
example_27.pdf,0,85dda66685484e612d3cea453860863ec034ac69f3ca683363284714db5074ab,224,8,4,4,16787937784,1842182156,1323719564,1018053964,876318348,7361651,0.787
example_28.pdf,0,8ce843b58d1bf3b5bce99c7788c0f28b3fe653c7567dddf7540269d09a052ffd,224,8,4,4,16787937784,1842182156,1323719564,1018053964,876318348,7361651,0.774
example_29.pdf,0,5d90a552b59081257a91e2da142995437db9f7adc1d1852d82a3ad909d6e61d3,1232,56,22,22,93188889262,10232536522,7348327498,5652258698,4865128266,40848637,3.036
example_30.pdf,0,a996964ee656582ae9ea97eaab34fb81a5c741992589a61f25d84c6823e5568e,168,0,3,3,12177942333,1332936459,958862475,737260875,634669323,5337981,0.66
example_31.pdf,0,925526e71da161a47b9e50efb98124a65c01e7745cb3ccc26ab1f6b18516c3ff,416,24,7,8,31493407548,3480670574,2498235374,1921882414,1654189806,13931693,1.215
example_32.pdf,0,c6a96e45de0b048f0096971e28bfb80e9ffde62cd6c4a1a888754b31dcb4a627,560,8,10,10,41143822450,4508055074,3241444514,2492575714,2145656994,18037613,1.464
